Brand,Frequency
Charlotte Tilbury,119
Rare Beauty,70
Make Up By Mario,56
Huda Beauty,51
Fenty Beauty,46
Hourglass,39
Dior Beauty,39
NARS,31
Benefit Cosmetics,28
Too Faced,26
Drunk Elephant,25
Patrick Ta Beauty,24
Anastasia Beverly Hills,23
tarte,19
Sol de Janeiro,17
Natasha Denona,16
Lancôme,16
Glow Recipe,15
MAC Cosmetics,14
Urban Decay,13
YSL Beauty,11
Make Up For Ever,11
Bobbi Brown,10
Laneige,9
Summer Fridays,9
SEPHORA COLLECTION,7
Maybelline,7
Shiseido,7
Laura Mercier,6
Clinique,5
NYX,5
Glossier,5
Chanel Beauty,4
Kosas,3
Olaplex,3
Morphe,3
Pat McGrath Labs,3
Tom Ford Beauty,2
Kiehl's,2
L'Oréal,2
Paula's Choice,1
Gucci Beauty,1
The Ordinary,1
La Mer,1
Giorgio Armani Beauty,1
Milk Makeup,1
First Aid Beauty,1
